Date,Top of Mind,Spontaneous,Regularly,Most Often
2016-04-01,52,88,85,44
2016-05-01,49,89,84,45
2016-06-01,51,91,87,43
2016-07-01,44,92,83,42
2016-08-01,43,86,86,35
2016-09-01,43,91,82,41
2016-10-01,36,89,80,35
2016-11-01,37,89,78,35
2016-12-01,41,94,75,39
2017-01-01,40,90,77,39
2017-02-01,42,95,75,34
2017-03-01,41,92,71,35
2017-04-01,41,93,72,37
2017-05-01,43,91,74,37
2017-06-01,44,88,71,38
2017-07-01,42,92,63,31
2017-08-01,38,90,66,27
2017-09-01,42,88,73,30
2017-10-01,44,90,86,35
2017-11-01,35,88,80,25
2017-12-01,37,92,90,34
2018-01-01,33,86,83,26
2018-02-01,35,93,86,28
2018-03-01,34,93,77,25
2018-04-01,40,96,76,32
